,ID,obs,FAC_sqkm,elev,d_slp20_m,ppt_sum_yr_m_0,ppt_yr_m_0,seg_slope_perc,STRAHLER,SumUpSlpLen_km,anomaly
10,1531,Dry,0.922549962997437,337.325927734375,0.0822001139322916,773.64990234375,3.14126682281494,0.0317300357459223,2,2.88028426318486,-1
11,1532,Dry,4.0514497756958,354.428833007813,0.0205842701742343,776.714721679688,3.09077882766724,0.0503787686700423,3,16.9544652719311,-1
13,1534,Wet,0.428350001573563,369.148315429688,0.0225714031092562,861.399597167969,2.93924474716187,0.102099609375,2,0.969478026254187,-1
14,1535,Dry,0.194775000214577,580.066772460938,0.240352071415434,854.779968261719,0.813101291656494,0.01588134765625,1,0.614257120389182,-1
32,1553,Dry,0.080375000834465,1309.91186523438,0.00885009765625,1401.16931152344,39.2726287841797,-0.006201171875,1,0.0859752853782841,-1
127,1648,Wet,0.0475749969482422,637.371765136719,0.28504378956409,764.317016601563,0.801813364028931,0.239753393057328,1,0.0072714568311379,-1
128,1649,Wet,0.12304999679327,527.315612792969,0.260860496821156,747.520446777344,0.638441622257233,0.474232832947965,2,0.6523260813519,-1
129,1650,Dry,0.0526749975979328,546.710693359375,0.1728552837574,728.535217285156,0.438720345497131,0.4655029296875,2,0.56446934463152,-1
136,1657,Wet,1.06572496891022,624.559509277344,0.0650394171582355,935.955627441406,1.37490856647491,0.0538616493619574,3,4.09396371267429,-1
137,1658,Wet,0.0227999985218048,618.4111328125,0.222916666666667,935.244995117188,1.37252426147461,0.312682411560402,1,0.137645925957329,-1
245,2380,Dry,0.0237750001251698,591.215576171875,0.0738374103056607,757.415100097656,0.0,0.04193115234375,1,0.355942567744009,-1
247,2382,Dry,0.678599953651428,609.908630371094,0.0951210538411491,981.565307617188,1.93057858943939,0.00841064453125,3,3.87188747041622,-1
248,2383,Wet,0.501049995422363,663.592163085938,0.0671125074975713,981.068237304688,1.92639470100403,0.015576171875,2,2.54875839327654,-1
250,2385,Wet,0.303149998188019,614.911254882813,0.0460154571712491,822.664001464844,0.0,0.0387648505263703,3,2.84493544013811,-1
251,2386,Wet,0.0678249970078468,647.925048828125,0.238639907036865,817.673767089844,0.081985205411911,0.0383677934958174,2,0.52785760104747,-1
257,2392,Wet,0.655274987220764,647.486267089844,0.125603992974246,884.907409667969,0.758725106716156,0.0134136222930259,4,6.26252461231439,-1
260,2395,Wet,2.90622496604919,650.219665527344,0.037060094797366,1011.10107421875,2.09313273429871,0.034526698308947,4,11.4502013866589,-1
273,2408,Dry,0.0506999976933003,645.639892578125,0.0474527994791666,861.734191894531,1.39941608905792,0.0457737702830865,2,0.610577168819029,-1
274,2409,Wet,0.172849997878075,645.684997558594,0.062091583822058,955.08642578125,0.920295715332031,0.0226322507415147,1,1.00783690044694,-1
275,2410,Wet,0.451474994421005,654.369384765625,0.0257828119622062,745.368469238281,0.0,0.0290801116507106,3,3.91300977769238,-1
278,2413,Wet,0.657774984836578,686.372680664063,0.157804361979167,912.761291503906,1.65376770496368,0.0002685546875,3,5.1151009821373,-1
280,2415,Dry,0.311100006103516,698.548889160156,0.274323249739162,943.466796875,1.75509583950043,0.0207678090328316,3,1.91857805972009,-1
281,2416,Dry,0.0146749997511506,995.523681640625,0.133699157933458,1121.31286621094,2.2124502658844,0.33656005859375,1,0.0664141378051286,-1
282,2417,Dry,0.0516499988734722,1003.66900634766,0.237906901041667,1192.66723632813,3.06540298461914,0.364489722372977,2,0.423929653037061,-1
344,2479,Dry,0.116049997508526,684.942932128906,0.253615862428371,945.702087402344,3.72176218032837,0.36575927734375,1,0.674477977565854,-1
346,2481,Dry,0.0293499995023012,540.170532226563,0.341822944933153,1086.77954101563,9.54969310760498,0.457642754410516,1,0.0077763644784897,-1
351,2486,Dry,0.114499993622303,873.74072265625,0.155352879041107,700.163452148438,0.336734771728516,0.329997550762339,1,0.634514553576936,-1
354,2489,Dry,0.149800002574921,868.149719238281,0.22099609375,699.126708984375,0.235207840800285,0.0310826601526295,1,0.325894473145715,-1
378,2513,Wet,0.244199991226196,659.070434570313,0.3580078125,641.375671386719,0.0,0.53648681640625,2,0.733416146883862,-1
379,2514,Wet,0.0679499953985214,769.785522460938,0.19779482293738,636.068298339844,0.0,0.667271603193288,1,0.275060934438661,-1
401,2536,Dry,0.0849500000476837,765.65771484375,0.672358816543514,988.259094238281,3.09011769294739,0.437841692930335,1,0.20601183063056,-1
